Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes
"(18,0)","(24,19)",c3,Dijkstra,True,252,1068,530
"(18,0)","(24,19)",c4,DFS,True,2045,808,206
"(18,0)","(24,19)",c4,BFS,True,253,2148,551
"(18,0)","(24,19)",c4,Dijkstra,True,225,1094,548
"(4,4)","(3,23)",c1,DFS,True,820,6170,1578
"(4,4)","(3,23)",c1,BFS,True,200,1436,370
"(4,4)","(3,23)",c1,Dijkstra,True,200,741,367
"(4,4)","(3,23)",c2,DFS,True,835,6170,1578
"(4,4)","(3,23)",c2,BFS,True,205,1436,370
"(4,4)","(3,23)",c2,Dijkstra,True,205,599,296
"(4,4)","(3,23)",c3,DFS,True,829,6170,1578
"(4,4)","(3,23)",c3,BFS,True,203,1436,370
"(4,4)","(3,23)",c3,Dijkstra,True,200,694,344
"(4,4)","(3,23)",c4,DFS,True,826,6170,1578
"(4,4)","(3,23)",c4,BFS,True,203,1436,370
"(4,4)","(3,23)",c4,Dijkstra,True,195,883,440
"(7,28)","(12,23)",c1,DFS,True,1340,527,135
"(7,28)","(12,23)",c1,BFS,True,100,547,143
"(7,28)","(12,23)",c1,Dijkstra,True,100,275,134
"(7,28)","(12,23)",c2,DFS,True,1365,527,135
"(7,28)","(12,23)",c2,BFS,True,125,547,143
"(7,28)","(12,23)",c2,Dijkstra,True,125,289,138
"(7,28)","(12,23)",c3,DFS,True,1347,527,135
"(7,28)","(12,23)",c3,BFS,True,107,547,143
"(7,28)","(12,23)",c3,Dijkstra,True,104,278,135
"(7,28)","(12,23)",c4,DFS,True,1343,527,135
"(7,28)","(12,23)",c4,BFS,True,105,547,143
"(7,28)","(12,23)",c4,Dijkstra,True,82,271,133
"(14,13)","(21,17)",c1,DFS,True,2170,855,218
"(14,13)","(21,17)",c1,BFS,True,110,1001,251
"(14,13)","(21,17)",c1,Dijkstra,True,110,534,246
"(14,13)","(21,17)",c2,DFS,True,2205,855,218
"(14,13)","(21,17)",c2,BFS,True,145,1001,251
"(14,13)","(21,17)",c2,Dijkstra,True,145,619,288
"(14,13)","(21,17)",c3,DFS,True,2187,855,218
"(14,13)","(21,17)",c3,BFS,True,122,1001,251
"(14,13)","(21,17)",c3,Dijkstra,True,117,533,246
"(14,13)","(21,17)",c4,DFS,True,2178,855,218
"(14,13)","(21,17)",c4,BFS,True,110,1001,251
"(14,13)","(21,17)",c4,Dijkstra,True,88,467,215
"(7,6)","(15,15)",c1,DFS,True,2570,1013,258
"(7,6)","(15,15)",c1,BFS,True,170,1521,390
"(7,6)","(15,15)",c1,Dijkstra,True,170,780,384
